Player,Mat,Inns,Ct,Max,Ct/Inn
DPMD Jayawardene (SL),9,8,8,2,1
JH Kallis (SA),7,7,6,1,0.857
RJ Peterson (SA),7,7,6,2,0.857
KA Pollard (WI),7,7,6,2,0.857
TM Dilshan (SL),9,8,6,2,0.75
JM Davison (CAN),5,5,5,2,1
AN Kervezee (NED),6,6,5,3,0.833
JDP Oram (NZ),6,6,5,2,0.833
GC Smith (SA),7,7,5,2,0.714
Shahid Afridi (PAK),8,8,5,2,0.625
LRPL Taylor (NZ),8,8,5,3,0.625
WTS Porterfield (IRE),6,6,4,2,0.666
JP Duminy (SA),7,7,4,1,0.571
B Lee (AUS),7,7,4,2,0.571
JD Ryder (NZ),7,7,4,2,0.571
Umar Akmal (PAK),7,7,4,1,0.571
Harbhajan Singh (IND),9,9,4,1,0.444
Z Khan (IND),9,9,4,3,0.444
SK Raina (IND),4,4,3,1,0.75
Ahmed Shehzad (PAK),5,5,3,2,0.6
RW Chakabva (ZIM),5,5,3,1,0.6
CH Gayle (WI),5,5,3,2,0.6
DT Johnston (IRE),5,5,3,1,0.6
WD Balaji Rao (CAN),6,6,3,1,0.5
E Chigumbura (ZIM),6,6,3,3,0.5
GH Dockrell (IRE),6,6,3,1,0.5
AS Hansra (CAN),6,6,3,1,0.5
Junaid Siddique (BAN),6,6,3,2,0.5
KJ O'Brien (IRE),6,6,3,1,0.5
RT Ponting (AUS),7,7,3,1,0.428
DJG Sammy (WI),7,7,3,1,0.428
SR Watson (AUS),7,7,3,2,0.428
NL McCullum (NZ),8,8,3,1,0.375
Misbah-ul-Haq (PAK),8,8,3,2,0.375
TT Samaraweera (SL),9,8,3,1,0.375
V Sehwag (IND),8,8,3,1,0.375
SB Styris (NZ),8,8,3,1,0.375
V Kohli (IND),9,9,3,1,0.333
Yuvraj Singh (IND),9,9,3,1,0.333
