Player,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
KC Sangakkara (SL),9,8,14,10,4,4 (3ct 1st),1.75
BJ Haddin (AUS),7,7,13,13,0,4 (4ct 0st),1.857
Kamran Akmal (PAK),8,8,12,8,4,3 (3ct 0st),1.5
MJ Prior (ENG),7,7,10,7,3,4 (4ct 0st),1.428
DC Thomas (WI),7,7,10,7,3,3 (3ct 0st),1.428
MS Dhoni (IND),9,9,10,7,3,3 (3ct 0st),1.111
BB McCullum (NZ),8,8,9,8,1,3 (3ct 0st),1.125
MN van Wyk (SA),5,4,8,7,1,4 (4ct 0st),2
A Bagai (CAN),6,6,8,8,0,3 (3ct 0st),1.333
Mushfiqur Rahim (BAN),6,6,7,3,4,2 (1ct 1st),1.166
MA Ouma (KENYA),5,5,4,2,2,1 (1ct 0st),0.8
NJ O'Brien (IRE),6,6,4,3,1,1 (1ct 0st),0.666
AF Buurman (NED),2,1,3,3,0,3 (3ct 0st),3
W Barresi (NED),6,5,3,2,1,1 (1ct 0st),0.6
T Taibu (ZIM),6,6,3,0,3,2 (0ct 2st),0.5
DO Obuya (KENYA),4,1,1,1,0,1 (1ct 0st),1
AB de Villiers (SA),5,3,0,0,0,0,0
