Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
Shahid Afridi (PAK),8,8,74.3,4,270,21,May-16,12.85,3.62,21.2,2,2
Z Khan (IND),9,9,81.3,4,394,21,Mar-20,18.76,4.83,23.2,0,0
TG Southee (NZ),8,8,72.2,9,312,18,Mar-13,17.33,4.31,24.1,0,0
RJ Peterson (SA),7,7,56,5,238,15,04-Dec,15.86,4.25,22.4,1,0
M Muralidaran (SL),9,8,71,1,291,15,Apr-25,19.4,4.09,28.4,1,0
Yuvraj Singh (IND),9,9,75,2,377,15,May-31,25.13,5.02,30,0,1
Imran Tahir (SA),5,5,39.3,2,150,14,Apr-38,10.71,3.79,16.9,2,0
Umar Gul (PAK),8,8,60.3,5,272,14,Mar-30,19.42,4.49,25.9,0,0
KAJ Roach (WI),6,6,46,2,195,13,Jun-27,15,4.23,21.2,0,1
B Lee (AUS),7,7,54.2,6,235,13,Apr-28,18.07,4.32,25,2,0
SL Malinga (SL),7,6,48.4,0,270,13,Jun-38,20.76,5.54,22.4,0,1
HS Baidwan (CAN),6,6,55,3,307,13,Mar-35,23.61,5.58,25.3,0,0
DW Steyn (SA),6,6,46.1,3,192,12,May-50,16,4.15,23,0,1
JDP Oram (NZ),6,6,49.5,6,221,12,Apr-39,18.41,4.43,24.9,1,0
SJ Benn (WI),6,6,47.5,3,238,12,Apr-18,19.83,4.97,23.9,2,0
GP Swann (ENG),7,7,68,5,309,12,Mar-36,25.75,4.54,34,0,0
SW Tait (AUS),7,7,52,3,264,11,Mar-35,24,5.07,28.3,0,0
MM Patel (IND),8,8,65.5,1,353,11,Apr-48,32.09,5.36,35.9,1,0
MG Johnson (AUS),7,7,57.3,7,231,10,Apr-19,23.1,4.01,34.5,2,0
JF Mooney (IRE),6,6,45,0,259,10,Apr-63,25.9,5.75,27,1,0
RW Price (ZIM),6,6,49,7,169,9,Mar-16,18.77,3.44,32.6,0,0
M Morkel (SA),6,6,40.2,0,207,9,Mar-33,23,5.13,26.8,0,0
WD Balaji Rao (CAN),6,6,54,0,299,9,Apr-57,33.22,5.53,36,1,0
TT Bresnan (ENG),7,7,63,5,309,9,May-48,34.33,4.9,42,0,1
Harbhajan Singh (IND),9,9,87,2,390,9,Mar-53,43.33,4.48,58,0,0
TM Dilshan (SL),9,7,31,2,126,8,04-Apr,15.75,4.06,23.2,1,0
Wahab Riaz (PAK),5,5,33.5,0,158,8,May-46,19.75,4.66,25.3,0,1
Mohammad Hafeez (PAK),8,8,55,4,193,8,Feb-16,24.12,3.5,41.2,0,0
DJG Sammy (WI),7,7,46,4,206,8,Mar-21,25.75,4.47,34.5,0,0
Shakib Al Hasan (BAN),6,6,46.2,0,223,8,Feb-28,27.87,4.81,34.7,0,0
DT Johnston (IRE),5,5,43.2,2,240,8,Feb-16,30,5.53,32.5,0,0
NL McCullum (NZ),8,8,50,1,241,8,Mar-24,30.12,4.82,37.5,0,0
PM Seelaar (NED),6,6,59.4,4,306,8,Mar-45,38.25,5.12,44.7,0,0
AD Russell (WI),3,3,27.1,3,132,7,Apr-49,18.85,4.85,23.2,1,0
BAW Mendis (SL),6,5,42.4,5,134,7,Mar-35,19.14,3.14,36.5,0,0
CB Mpofu (ZIM),4,4,27,1,159,7,Apr-62,22.71,5.88,23.1,1,0
NLTC Perera (SL),4,4,31,0,174,7,Mar-24,24.85,5.61,26.5,0,0
GH Dockrell (IRE),6,6,46.4,2,207,7,Feb-23,29.57,4.43,40,0,0
Abdur Razzak (BAN),6,6,48,5,220,7,Mar-29,31.42,4.58,41.1,0,0
RN ten Doeschate (NED),6,6,52,2,322,7,Mar-72,46,6.19,44.5,0,0
KD Mills (NZ),3,3,20.4,2,74,6,02-Feb,12.33,3.58,20.6,0,0
HK Bennett (NZ),4,4,24.1,0,132,6,Apr-16,22,5.46,24.1,1,0
SCJ Broad (ENG),3,3,25.4,2,153,6,Apr-15,25.5,5.96,25.6,1,0
H Osinde (CAN),5,5,36,3,166,6,Apr-26,27.66,4.61,36,1,0
AD Mathews (SL),8,6,36,0,171,6,Feb-29,28.5,4.75,36,0,0
Shafiul Islam (BAN),6,6,39.2,4,203,6,Apr-21,33.83,5.16,39.3,1,0
AG Cremer (ZIM),6,6,46.2,1,211,6,Mar-31,35.16,4.55,46.3,0,0
P Utseya (ZIM),6,6,49,3,211,6,Feb-24,35.16,4.3,49,0,0
Rizwan Cheema (CAN),6,6,40.5,1,248,6,Feb-30,41.33,6.07,40.8,0,0
NN Odhiambo (KENYA),6,6,43,2,256,6,Mar-57,42.66,5.95,43,0,0
