Player,Overs,Mdns,Runs,Wkts,Econ,,Opposition,Ground,Match Date,Scorecard
YK Pathan,6,1,17,0,2.83,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
Z Khan,6.4,0,20,3,3,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
Yuvraj Singh,10,0,31,5,3.1,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
Harbhajan Singh,10,0,31,0,3.1,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
Harbhajan Singh,9,1,29,0,3.22,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
A Nehra,10,0,33,2,3.3,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Z Khan,9,1,30,3,3.33,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
Harbhajan Singh,9,1,35,1,3.88,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Z Khan,10,0,40,2,4,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
MM Patel,10,1,40,2,4,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
YK Pathan,7,0,28,0,4,,v West Indies,Chennai,20-Mar-11,ODI # 3141
MM Patel,5,0,20,0,4,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Harbhajan Singh,10,0,41,1,4.1,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
R Ashwin,10,0,41,2,4.1,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Z Khan,10,0,43,1,4.3,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Harbhajan Singh,10,0,43,2,4.3,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Z Khan,6,0,26,3,4.33,,v West Indies,Chennai,20-Mar-11,ODI # 3141
Yuvraj Singh,10,0,44,2,4.4,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
A Nehra,5,1,22,1,4.4,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
MM Patel,9,0,41,0,4.55,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
YK Pathan,7,1,32,0,4.57,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
PP Chawla,10,0,47,2,4.7,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
Yuvraj Singh,9,1,43,2,4.77,,v Netherlands,Delhi,09-Mar-11,ODI # 3124
MM Patel,10,0,48,4,4.8,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
Yuvraj Singh,10,0,49,2,4.9,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
Harbhajan Singh,10,0,50,0,5,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Harbhajan Singh,10,0,50,1,5,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
R Ashwin,10,0,52,2,5.2,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Z Khan,10,0,53,2,5.3,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Yuvraj Singh,10,1,57,2,5.7,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Harbhajan Singh,10,0,58,1,5.8,,v England,Bengaluru,27-Feb-11,ODI # 3110
Yuvraj Singh,8,0,47,0,5.87,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Harbhajan Singh,9,0,53,3,5.88,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
Z Khan,9.5,0,58,2,5.89,,v Pakistan,Mohali,30-Mar-11,ODI # 3147
Z Khan,10,3,60,2,6,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
Yuvraj Singh,7,0,42,0,6,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
YK Pathan,8,0,49,1,6.12,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
MM Patel,7,0,44,0,6.28,,v Australia,Ahmedabad,24-Mar-11,ODI # 3143
Z Khan,10,0,64,3,6.4,,v England,Bengaluru,27-Feb-11,ODI # 3110
MM Patel,10,0,65,2,6.5,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
S Sreesanth,8,0,52,0,6.5,,v Sri Lanka,Wankhede,02-Apr-11,ODI # 3148
Yuvraj Singh,7,0,46,0,6.57,,v England,Bengaluru,27-Feb-11,ODI # 3110
MM Patel,10,0,70,2,7,,v England,Bengaluru,27-Feb-11,ODI # 3110
PP Chawla,8,0,56,0,7,,v Ireland,Bengaluru,06-Mar-11,ODI # 3121
PP Chawla,10,0,71,2,7.1,,v England,Bengaluru,27-Feb-11,ODI # 3110
A Nehra,8.4,0,65,0,7.5,,v South Africa,Nagpur,12-Mar-11,ODI # 3128
S Sreesanth,5,0,53,0,10.6,,v Bangladesh,Mirpur,19-Feb-11,ODI # 3100
