Player,Mat,Inns,NO,Runs,,,,,,,,,,,,,,,
TM Dilshan (SL),9,9,1,500,,,,,,,,,,,,,,,
SR Tendulkar (IND),9,9,0,482,,,,,,,,,,,,,,,
KC Sangakkara (SL),9,8,3,465,,,,,,,,,,,,,,,
IJL Trott (ENG),7,7,0,422,,,,,,,,,,,,,,,
WU Tharanga (SL),9,9,2,395,,,,,,,,,,,,,,,
G Gambhir (IND),9,9,0,393,,,,,,,,,,,,,,,
V Sehwag (IND),8,8,0,380,,,,,,,,,,,,,,,
Yuvraj Singh (IND),9,8,4,362,,,,,,,,,,,,,,,
AB de Villiers (SA),5,5,1,353,,,,,,,,,,,,,,,
AJ Strauss (ENG),7,7,0,334,,,,,,,,,,,,,,,
BJ Haddin (AUS),7,6,0,332,,,,,,,,,,,,,,,
LRPL Taylor (NZ),8,6,1,324,,,,,,,,,,,,,,,
RN ten Doeschate (NED),6,6,1,307,,,,,,,,,,,,,,,
HM Amla (SA),7,7,0,306,,,,,,,,,,,,,,,
DPMD Jayawardene (SL),9,7,1,304,,,,,,,,,,,,,,,
DS Smith (WI),7,7,0,300,,,,,,,,,,,,,,,
SR Watson (AUS),7,6,0,290,,,,,,,,,,,,,,,
V Kohli (IND),9,9,1,282,,,,,,,,,,,,,,,
MJ Guptill (NZ),8,8,2,262,,,,,,,,,,,,,,,
BB McCullum (NZ),8,8,2,256,,,,,,,,,,,,,,,
Misbah-ul-Haq (PAK),8,6,1,248,,,,,,,,,,,,,,,
IR Bell (ENG),7,7,0,245,,,,,,,,,,,,,,,
CO Obuya (KENYA),6,6,1,243,,,,,,,,,,,,,,,
MS Dhoni (IND),9,8,3,241,,,,,,,,,,,,,,,
Umar Akmal (PAK),7,6,1,240,,,,,,,,,,,,,,,
MJ Clarke (AUS),7,6,3,233,,,,,,,,,,,,,,,
CR Ervine (ZIM),6,6,0,231,,,,,,,,,,,,,,,
A Bagai (CAN),6,6,1,225,,,,,,,,,,,,,,,
JH Kallis (SA),7,7,0,225,,,,,,,,,,,,,,,
JP Duminy (SA),7,7,1,224,,,,,,,,,,,,,,,
AS Hansra (CAN),6,6,1,215,,,,,,,,,,,,,,,
Mohammad Hafeez (PAK),8,8,1,215,,,,,,,,,,,,,,,
Kamran Akmal (PAK),8,7,1,207,,,,,,,,,,,,,,,
RT Ponting (AUS),7,6,0,206,,,,,,,,,,,,,,,
NJ O'Brien (IRE),6,6,1,205,,,,,,,,,,,,,,,
KJ O'Brien (IRE),6,6,1,198,,,,,,,,,,,,,,,
T Taibu (ZIM),6,6,0,189,,,,,,,,,,,,,,,
Imrul Kayes (BAN),6,6,1,188,,,,,,,,,,,,,,,
Younis Khan (PAK),8,7,1,185,,,,,,,,,,,,,,,
JD Ryder (NZ),7,5,0,184,,,,,,,,,,,,,,,
GC Smith (SA),7,7,0,183,,,,,,,,,,,,,,,
KA Pollard (WI),7,6,0,180,,,,,,,,,,,,,,,
WTS Porterfield (IRE),6,6,0,180,,,,,,,,,,,,,,,
EC Joyce (IRE),6,6,0,176,,,,,,,,,,,,,,,
TLW Cooper (NED),6,6,1,174,,,,,,,,,,,,,,,
PW Borren (NED),6,6,1,173,,,,,,,,,,,,,,,
CH Gayle (WI),5,5,1,170,,,,,,,,,,,,,,,
BRM Taylor (ZIM),6,6,0,170,,,,,,,,,,,,,,,
F du Plessis (SA),7,6,2,159,,,,,,,,,,,,,,,
